出 [chū],<ruby>出<rt>chū</rt></ruby>,出,出,chū,['ㄔㄨ'],go out; occur,['ㄔㄨ'],
走 [zǒu],<ruby>走<rt>zǒu</rt></ruby>,走,走,zǒu,['ㄗㄡˇ'],to walk; to go; to move (Kangxi radical 156),['ㄗㄡˇ'],
眼睛 [yǎn jing],<ruby>眼<rt>yǎn</rt></ruby><ruby>睛<rt>jing</rt></ruby>,眼睛,眼睛,yǎn jing,['ㄧㄢˇ ㄐㄧㄥ˙'],eye,['ㄧㄢˇ ㄐㄧㄥ˙'],
发 [fà],<ruby>发<rt>fà</rt></ruby>,发,發,fà,['ㄈㄚˋ'],hair,['ㄈㄚˋ'],
站 [zhàn],<ruby>站<rt>zhàn</rt></ruby>,站,站,zhàn,['ㄓㄢˋ'],stand; a station; be on one's feet; service center,['ㄓㄢˋ'],
嘴 [zuǐ],<ruby>嘴<rt>zuǐ</rt></ruby>,嘴,嘴,zuǐ,['ㄗㄨㄟˇ'],mouth,['ㄗㄨㄟˇ'],
头发 [tóu fa],<ruby>头<rt>tóu</rt></ruby><ruby>发<rt>fa</rt></ruby>,头发,頭發,tóu fa,['ㄊㄡˊ ㄈㄚ˙'],hair (on the head),['ㄊㄡˊ ㄈㄚ˙'],
腿 [tuǐ],<ruby>腿<rt>tuǐ</rt></ruby>,腿,腿,tuǐ,['ㄊㄨㄟˇ'],leg,['ㄊㄨㄟˇ'],
鼻子 [bí zi],<ruby>鼻<rt>bí</rt></ruby><ruby>子<rt>zi</rt></ruby>,鼻子,鼻子,bí zi,['ㄅㄧˊ ㄗ˙'],nose,['ㄅㄧˊ ㄗ˙'],
校长 [xiào zhǎng],<ruby>校<rt>xiào</rt></ruby><ruby>长<rt>zhǎng</rt></ruby>,校长,校長,xiào zhǎng,['ㄒㄧㄠˋ ㄓㄤˇ'],"principal (of school, college or university); president; headmaster",['ㄒㄧㄠˋ ㄓㄤˇ'],
抱 [bào],<ruby>抱<rt>bào</rt></ruby>,抱,抱,bào,['ㄅㄠˋ'],to hold; to hug; carry in one's arms; to cradle,['ㄅㄠˋ'],
冷静 [lěng jìng],<ruby>冷<rt>lěng</rt></ruby><ruby>静<rt>jìng</rt></ruby>,冷静,冷靜,lěng jìng,['ㄌㄥˇ ㄐㄧㄥˋ'],calm; cool-headed; sober,['ㄌㄥˇ ㄐㄧㄥˋ'],
低 [dī],<ruby>低<rt>dī</rt></ruby>,低,低,dī,['ㄉㄧ'],low; to lower (one's head); droop,['ㄉㄧ'],
脑袋 [nǎo dai],<ruby>脑<rt>nǎo</rt></ruby><ruby>袋<rt>dai</rt></ruby>,脑袋,腦袋,nǎo dai,['ㄋㄠˇ ㄉㄞ˙'],head; mental capability; brains,['ㄋㄠˇ ㄉㄞ˙'],
主任 [zhǔ rèn],<ruby>主<rt>zhǔ</rt></ruby><ruby>任<rt>rèn</rt></ruby>,主任,主任,zhǔ rèn,['ㄓㄨˇ ㄖㄣˋ'],director; head; chief,['ㄓㄨˇ ㄖㄣˋ'],
睁 [zhēng],<ruby>睁<rt>zhēng</rt></ruby>,睁,睜,zhēng,['ㄓㄥ'],to open (eyes),['ㄓㄥ'],
